mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,sid,onset_sec,duration_sec,onset_tick,duration_tick,pitch_pna,velocity,track,channel,pid
0,-0.500000,0.500000,-0.500000,0.500000,0,64,63,3,nwqgcz5,0.216667,0.871875,208,837,63,37,0,1,n0
1,0.000000,2.000000,0.000000,2.000000,64,256,75,1,nbwxzb1,0.772917,2.507292,742,2407,75,58,0,1,n1
1,0.000000,1.000000,0.000000,1.000000,64,128,66,3,niis0bt,0.811458,0.827083,779,794,66,39,0,1,n2
1,1.000000,0.500000,1.000000,0.500000,192,64,65,3,n1axox90,1.513542,0.805208,1453,773,65,47,0,1,n3
1,1.500000,0.500000,1.500000,0.500000,256,64,63,3,nz2irm6,1.892708,0.576042,1817,553,63,58,0,1,n4
2,2.000000,2.000000,2.000000,2.000000,320,256,82,1,n63xubs,2.251042,1.009375,2161,969,82,77,0,1,n5
2,2.000000,0.500000,2.000000,0.500000,320,64,62,3,nskncbk,2.283333,0.979167,2192,940,62,46,0,1,n6
2,2.500000,0.500000,2.500000,0.500000,384,64,59,3,noxt7zz,2.630208,0.633333,2525,608,59,50,0,1,n7
2,3.000000,1.500000,3.000000,1.500000,448,192,58,3,n1ftb3dd,3.013542,1.961458,2893,1883,58,49,0,1,n8
3,4.000000,2.000000,4.000000,2.000000,576,256,70,1,n5hfy1h,3.718750,1.640625,3570,1575,70,65,0,1,n9
3,4.000000,2.000000,4.000000,2.000000,576,256,62,1,n1hksdx3,3.753125,0.834375,3603,801,62,40,0,1,n10
3,4.000000,2.000000,4.000000,2.000000,576,256,65,1,n1vnikpu,3.754167,0.847917,3604,814,65,39,0,1,n11
3,4.500000,0.500000,4.500000,0.500000,640,64,59,3,n12wrtim,4.088542,0.487500,3925,468,59,51,0,1,n12
3,5.500000,0.500000,5.500000,0.500000,768,64,56,3,n1d3wph6,4.766667,0.457292,4576,439,56,52,0,1,n13
4,6.000000,2.000000,6.000000,2.000000,832,256,75,1,nzrha46,5.104167,2.551042,4900,2449,75,63,0,1,n14
