mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,sid,onset_sec,duration_sec,onset_tick,duration_tick,pitch_pna,velocity,track,channel,pid
0,-0.500000,0.500000,-0.500000,0.500000,0,64,63,3,nwqgcz5,0.335417,4.179167,322,4012,63,31,0,1,n0
1,0.000000,2.000000,0.000000,2.000000,64,256,75,1,nbwxzb1,1.505208,2.989583,1445,2870,75,47,0,1,n1
1,0.000000,1.000000,0.000000,1.000000,64,128,66,3,niis0bt,1.540625,2.963542,1479,2845,66,28,0,1,n2
1,1.000000,0.500000,1.000000,0.500000,192,64,65,3,n1axox90,3.234375,1.280208,3105,1229,65,28,0,1,n3
2,2.000000,2.000000,2.000000,2.000000,320,256,82,1,n63xubs,4.292708,3.495833,4121,3356,82,70,0,1,n4
2,2.000000,0.500000,2.000000,0.500000,320,64,62,3,nskncbk,4.306250,0.651042,4134,625,62,41,0,1,n5
2,2.500000,0.500000,2.500000,0.500000,384,64,59,3,noxt7zz,4.806250,0.838542,4614,805,59,50,0,1,n6
2,3.000000,1.500000,3.000000,1.500000,448,192,58,3,n1ftb3dd,5.446875,2.792708,5229,2681,58,42,0,1,n7
3,4.000000,2.000000,4.000000,2.000000,576,256,70,1,n5hfy1h,7.581250,2.543750,7278,2442,70,50,0,1,n8
3,4.000000,2.000000,4.000000,2.000000,576,256,65,1,n1vnikpu,7.619792,2.345833,7315,2252,65,13,0,1,n9
3,4.000000,2.000000,4.000000,2.000000,576,256,62,1,n1hksdx3,7.621875,2.343750,7317,2250,62,17,0,1,n10
3,4.500000,0.500000,4.500000,0.500000,640,64,59,3,n12wrtim,8.256250,0.659375,7926,633,59,58,0,1,n11
3,5.000000,0.500000,5.000000,0.500000,704,64,58,3,n1ucgq9x,8.783334,1.208333,8432,1160,58,64,0,1,n12
3,5.500000,0.500000,5.500000,0.500000,768,64,56,3,n1d3wph6,9.313541,0.695833,8941,668,56,70,0,1,n13
4,6.000000,2.000000,6.000000,2.000000,832,256,75,1,nzrha46,9.870833,4.218750,9476,4050,75,47,0,1,n14
4,6.000000,2.000000,6.000000,2.000000,832,256,63,1,njjz3m5,9.900000,4.198958,9504,4031,63,36,0,1,n15
4,6.000000,0.500000,6.000000,0.500000,832,64,54,3,n20qfko,9.902083,0.684375,9506,657,54,47,0,1,n16
4,6.500000,0.500000,6.500000,0.500000,896,64,53,3,ndw96g6,10.471875,0.752083,10053,722,53,40,0,1,n17
4,7.000000,0.500000,7.000000,0.500000,960,64,51,3,n1w2yvlc,11.085417,0.730208,10642,701,51,45,0,1,n18
4,7.500000,0.500000,7.500000,0.500000,1024,64,49,3,n1q8opyy,11.758333,0.955208,11288,917,49,38,0,1,n19
5,8.000000,1.000000,8.000000,1.000000,1088,128,47,3,n1gp8dny,12.567708,1.522917,12065,1462,47,30,0,1,n20
5,8.000000,1.000000,8.000000,1.000000,1088,128,54,3,n1c77x0z,12.586458,4.526042,12083,4345,54,30,0,1,n21
5,8.000000,1.000000,8.000000,1.000000,1088,128,59,3,n140af6o,12.587500,1.502083,12084,1442,59,28,0,1,n22
5,8.500000,0.500000,8.500000,0.500000,1152,64,66,2,n1ua7khd,13.391666,0.701042,12856,673,66,42,0,1,n23
5,9.000000,1.000000,9.000000,1.000000,1216,128,74,1,n1ax8csr,13.960417,1.390625,13402,1335,74,72,0,1,n24
5,9.000000,1.000000,9.000000,1.000000,1216,128,58,3,n1y9wlwc,13.980208,0.104167,13421,100,58,52,0,1,n25
5,9.000000,0.500000,9.000000,0.500000,1216,64,62,2,n1gnrdu7,13.983334,1.359375,13424,1305,62,63,0,1,n26
5,9.000000,1.000000,9.000000,1.000000,1216,128,46,3,nwwcg6d,13.984375,1.356250,13425,1302,46,40,0,1,n27
5,9.500000,0.500000,9.500000,0.500000,1280,64,66,2,n1uynip8,14.518750,0.823958,13938,791,66,67,0,1,n28
6,10.000000,1.500000,10.000000,1.500000,1344,192,75,1,n1vz4o6x,15.066667,2.615625,14464,2511,75,64,0,1,n29
6,10.000000,0.500000,10.000000,0.500000,1344,64,63,2,n1l21wtc,15.073958,0.606250,14471,582,63,66,0,1,n30
6,10.000000,3.500000,10.000000,3.500000,1344,448,47,4,n19gnecy,15.077084,5.291667,14474,5080,47,44,0,1,n31
6,10.000000,1.500000,10.000000,1.500000,1344,192,59,3,nu59lmr,15.085417,1.281250,14482,1230,59,42,0,1,n32
6,10.500000,0.500000,10.500000,0.500000,1408,64,66,2,nwc30jq,15.623959,0.701042,14999,673,66,52,0,1,n33
6,11.000000,0.500000,11.000000,0.500000,1472,64,71,2,n1x5o87d,16.283333,0.823958,15632,791,71,58,0,1,n34
6,11.500000,0.500000,11.500000,0.500000,1536,64,69,2,najplea,17.007292,0.676042,16327,649,69,60,0,1,n35
6,11.500000,0.500000,11.500000,0.500000,1536,64,57,3,nxoodw5,17.009375,0.679167,16329,652,57,46,0,1,n36
7,12.000000,0.500000,12.000000,0.500000,1600,64,76,1,nt1lpnt,17.627083,0.633333,16922,608,76,68,0,1,n37
7,12.000000,0.500000,12.000000,0.500000,1600,64,68,2,n1keu81w,17.650000,1.243750,16944,1194,68,37,0,1,n38
7,12.000000,0.500000,12.000000,0.500000,1600,64,56,3,n1uct3s1,17.681250,0.628125,16974,603,56,38,0,1,n39
7,12.500000,0.500000,12.500000,0.500000,1664,64,74,1,nm687d8,18.192709,0.702083,17465,674,74,50,0,1,n40
