mn,onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,sid,onset_sec,duration_sec,onset_tick,duration_tick,pitch_pna,velocity,track,channel,pid
0,-0.500000,0.500000,-0.500000,0.500000,0,64,63,3,nwqgcz5,0.063542,1.269792,61,1219,63,44,0,1,n0
1,0.000000,1.000000,0.000000,1.000000,64,128,66,3,niis0bt,0.982292,1.373958,943,1319,66,49,0,1,n1
1,0.000000,2.000000,0.000000,2.000000,64,256,75,1,nbwxzb1,0.983333,2.845833,944,2732,75,50,0,1,n2
1,1.000000,0.500000,1.000000,0.500000,192,64,65,3,n1axox90,2.166667,0.546875,2080,525,65,41,0,1,n3
1,1.500000,0.500000,1.500000,0.500000,256,64,63,3,nz2irm6,2.600000,0.518750,2496,498,63,60,0,1,n4
2,2.000000,2.000000,2.000000,2.000000,320,256,82,1,n63xubs,2.983333,2.033333,2864,1952,82,79,0,1,n5
2,2.000000,0.500000,2.000000,0.500000,320,64,62,3,nskncbk,2.992708,0.617708,2873,593,62,56,0,1,n6
2,2.500000,0.500000,2.500000,0.500000,384,64,59,3,noxt7zz,3.344792,0.448958,3211,431,59,66,0,1,n7
2,3.000000,1.500000,3.000000,1.500000,448,192,58,3,n1ftb3dd,3.730208,1.294792,3581,1243,58,65,0,1,n8
3,4.000000,2.000000,4.000000,2.000000,576,256,70,1,n5hfy1h,4.384375,1.744792,4209,1675,70,74,0,1,n9
3,4.000000,2.000000,4.000000,2.000000,576,256,62,1,n1hksdx3,4.412500,1.483333,4236,1424,62,54,0,1,n10
3,4.000000,2.000000,4.000000,2.000000,576,256,65,1,n1vnikpu,4.412500,1.489583,4236,1430,65,57,0,1,n11
3,4.500000,0.500000,4.500000,0.500000,640,64,59,3,n12wrtim,4.728125,0.416667,4539,400,59,71,0,1,n12
3,5.000000,0.500000,5.000000,0.500000,704,64,58,3,n1ucgq9x,5.073958,0.827083,4871,794,58,63,0,1,n13
3,5.500000,0.500000,5.500000,0.500000,768,64,56,3,n1d3wph6,5.423958,0.583333,5207,560,56,71,0,1,n14
4,6.000000,2.000000,6.000000,2.000000,832,256,75,1,nzrha46,5.887500,3.289583,5652,3158,75,62,0,1,n15
4,6.000000,2.000000,6.000000,2.000000,832,256,66,1,nx0xxp3,5.892708,2.217708,5657,2129,66,50,0,1,n16
4,6.000000,2.000000,6.000000,2.000000,832,256,63,1,njjz3m5,5.908333,1.440625,5672,1383,63,39,0,1,n17
4,6.000000,0.500000,6.000000,0.500000,832,64,54,3,n20qfko,5.909375,0.487500,5673,468,54,46,0,1,n18
4,6.500000,0.500000,6.500000,0.500000,896,64,53,3,ndw96g6,6.367708,0.444792,6113,427,53,49,0,1,n19
4,7.000000,0.500000,7.000000,0.500000,960,64,51,3,n1w2yvlc,6.803125,0.485417,6531,466,51,45,0,1,n20
4,7.500000,0.500000,7.500000,0.500000,1024,64,49,3,n1q8opyy,7.285417,0.805208,6994,773,49,44,0,1,n21
5,8.000000,1.000000,8.000000,1.000000,1088,128,47,3,n1gp8dny,7.958333,1.218750,7640,1170,47,44,0,1,n22
5,8.000000,0.500000,8.000000,0.500000,1088,64,63,2,nel2rvm,7.991667,1.185417,7672,1138,63,44,0,1,n23
5,8.000000,1.000000,8.000000,1.000000,1088,128,54,3,n1c77x0z,7.995833,3.176042,7676,3049,54,38,0,1,n24
5,8.500000,0.500000,8.500000,0.500000,1152,64,66,2,n1ua7khd,8.621875,0.555208,8277,533,66,54,0,1,n25
5,9.000000,1.000000,9.000000,1.000000,1216,128,46,3,nwwcg6d,9.072917,0.980208,8710,941,46,47,0,1,n26
5,9.000000,1.000000,9.000000,1.000000,1216,128,74,1,n1ax8csr,9.102083,0.953125,8738,915,74,75,0,1,n27
5,9.000000,0.500000,9.000000,0.500000,1216,64,62,2,n1gnrdu7,9.128125,0.927083,8763,890,62,54,0,1,n28
5,9.500000,0.500000,9.500000,0.500000,1280,64,66,2,n1uynip8,9.576041,0.480208,9193,461,66,65,0,1,n29
6,10.000000,3.500000,10.000000,3.500000,1344,448,47,4,n19gnecy,9.890625,2.695833,9495,2588,47,44,0,1,n30
6,10.000000,1.500000,10.000000,1.500000,1344,192,59,3,nu59lmr,9.934375,1.164583,9537,1118,59,47,0,1,n31
6,10.000000,1.500000,10.000000,1.500000,1344,192,75,1,n1vz4o6x,9.966666,1.550000,9568,1488,75,86,0,1,n32
6,10.000000,0.500000,10.000000,0.500000,1344,64,63,2,n1l21wtc,9.994792,1.066667,9595,1024,63,66,0,1,n33
6,10.500000,0.500000,10.500000,0.500000,1408,64,66,2,nwc30jq,10.344791,0.717708,9931,689,66,76,0,1,n34
6,11.000000,0.500000,11.000000,0.500000,1472,64,71,2,n1x5o87d,10.671875,0.391667,10245,376,71,84,0,1,n35
6,11.500000,0.500000,11.500000,0.500000,1536,64,57,3,nxoodw5,11.069792,0.404167,10627,388,57,52,0,1,n36
6,11.500000,0.500000,11.500000,0.500000,1536,64,69,2,najplea,11.072917,0.405208,10630,389,69,63,0,1,n37
7,12.000000,0.500000,12.000000,0.500000,1600,64,76,1,nt1lpnt,11.448958,0.375000,10991,360,76,83,0,1,n38
7,12.000000,0.500000,12.000000,0.500000,1600,64,56,3,n1uct3s1,11.453125,0.371875,10995,357,56,63,0,1,n39
7,12.000000,0.500000,12.000000,0.500000,1600,64,68,2,n1keu81w,11.453125,1.134375,10995,1089,68,70,0,1,n40
7,12.500000,0.500000,12.500000,0.500000,1664,64,74,1,nm687d8,11.821875,0.764583,11349,734,74,76,0,1,n41
7,12.500000,0.500000,12.500000,0.500000,1664,64,53,3,n19fuh32,11.864583,0.708333,11390,680,53,44,0,1,n42
7,13.000000,0.500000,13.000000,0.500000,1728,64,75,1,n13giu59,12.176042,0.419792,11689,403,75,82,0,1,n43
7,13.000000,0.500000,13.000000,0.500000,1728,64,54,3,n1phrkel,12.194792,0.509375,11707,489,54,54,0,1,n44
7,13.000000,0.500000,13.000000,0.500000,1728,64,69,2,n1ck28h5,12.202084,0.902083,11714,866,69,66,0,1,n45
7,13.500000,1.000000,13.500000,1.000000,1792,128,66,2,n1xu9t7k,12.633333,0.468750,12128,450,66,56,0,1,n46
7,13.500000,0.500000,13.500000,0.500000,1792,64,47,4,n1do2vxt,12.638541,0.464583,12133,446,47,34,0,1,n47
